Date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
2018-10-12 00:00:00,6209.47,6296.56,6173.86,6250.85,6698.31,4,-6.680192466,6171.95,1,1.278364212,7234.83,-13.60059601,6238.92,0.191218993
2018-10-13 00:00:00,6252.1,6280.73,6238.92,6267.27,6698.31,5,-6.435056007,6171.95,2,1.544406549,7234.83,-13.37363836,6244.77,0.3603015003
2018-10-14 00:00:00,6267.27,6346.56,6247.17,6277.73,6698.31,6,-6.278897214,6171.95,3,1.713882971,7234.83,-13.22905998,6244.77,0.5278016644
2018-10-15 00:00:00,6277.73,7234.83,6244.77,6612.36,7234.83,0,-8.603795804,6171.95,4,7.13567025,6724.91,-1.673628346,6395.45,3.391629987
2018-10-16 00:00:00,6612.69,6724.91,6545.54,6583.05,7234.83,1,-9.008919353,6171.95,5,6.660779818,6645.2,-0.9352615422,6395.45,2.933335418
2018-10-17 00:00:00,6583.05,6589.2,6511.6,6574.52,7234.83,2,-9.126821225,6171.95,6,6.522573903,6645.2,-1.063624872,6395.45,2.799959346
2018-10-18 00:00:00,6576.4,6616.27,6445.05,6488.72,7234.83,3,-10.31275096,6173.86,6,5.099888886,6645.2,-2.354782399,6395.45,1.458380567
2018-10-19 00:00:00,6489.37,6503.09,6449.36,6469.28,7234.83,4,-10.58145112,6238.92,6,3.69230572,6645.2,-2.647324385,6395.45,1.154414467
2018-10-20 00:00:00,6469.28,6645.2,6395.45,6490.56,7234.83,5,-10.28731843,6244.77,5,3.935933589,6557.39,-1.019155487,6432.3,0.9057413367
2018-10-21 00:00:00,6490.6,6557.39,6474.47,6509.87,7234.83,6,-10.02041513,6244.77,6,4.245152343,6538.35,-0.4355839011,6432.3,1.205944996
2018-10-22 00:00:00,6509.87,6531.23,6460.38,6483.23,6724.91,6,-3.593802742,6395.45,2,1.372538289,6538.35,-0.8430261457,6432.3,0.791785209
2018-10-23 00:00:00,6484.32,6496.2,6438.99,6470.22,6645.2,3,-2.633178836,6395.45,3,1.169112416,6538.35,-1.042006011,6432.3,0.5895247423
2018-10-24 00:00:00,6470.63,6538.35,6465.73,6476.25,6645.2,4,-2.542436646,6395.45,4,1.263398197,6514,-0.5795210316,6282.58,3.082650758
2018-10-25 00:00:00,6476.52,6497.9,6432.3,6462.77,6645.2,5,-2.745289833,6395.45,5,1.052623349,6514,-0.7864599325,6282.58,2.868089224
2018-10-26 00:00:00,6462.77,6514,6441.81,6457.21,6645.2,6,-2.828959249,6395.45,6,0.9656865428,6483.39,-0.4038010979,6241.49,3.456225997
2018-10-27 00:00:00,6457.21,6479,6445.95,6470.17,6557.39,6,-1.330102373,6432.3,2,0.5887474154,6483.39,-0.2039056728,6241.49,3.663868724
2018-10-28 00:00:00,6470.17,6483.24,6444.74,6470.74,6538.35,4,-1.034052934,6432.3,3,0.5976089424,6483.39,-0.1951139759,6241.49,3.673001158
2018-10-29 00:00:00,6470.74,6483.39,6282.58,6313.91,6538.35,5,-3.432670322,6282.58,0,0.4986804784,6420.93,-1.66673675,6241.49,1.160299864
2018-10-30 00:00:00,6314.38,6340.68,6286.3,6309.11,6538.35,6,-3.506083339,6282.58,1,0.4222787454,6498.16,-2.90928509,6241.49,1.083395151
2018-10-31 00:00:00,6309.11,6391.25,6241.49,6342.61,6514,5,-2.631102241,6241.49,0,1.620125964,6498.16,-2.39375454,6322.6,0.316483725
2018-11-01 00:00:00,6342.81,6402.59,6322.6,6381.3,6514,6,-2.037150752,6241.49,1,2.240009998,6498.16,-1.798355227,6336.96,0.6997045902
2018-11-02 00:00:00,6381.3,6420.93,6371.57,6394.66,6483.39,4,-1.368574156,6241.49,2,2.45406145,6562.79,-2.561867742,6336.96,0.9105312326
2018-11-03 00:00:00,6394.65,6398.09,6336.96,6376.32,6483.39,5,-1.651450861,6241.49,3,2.160221357,6562.79,-2.84132206,6351.92,0.3841358204
2018-11-04 00:00:00,6376.55,6498.16,6351.92,6467.05,6498.16,0,-0.4787509079,6241.49,4,3.61388066,6562.79,-1.458830772,6352.45,1.804028367
2018-11-05 00:00:00,6467.05,6475.8,6406.69,6433.74,6498.16,1,-0.9913575535,6241.49,5,3.080193992,6562.79,-1.966389295,6352.45,1.279663752
2018-11-06 00:00:00,6433.53,6482.81,6412.56,6479.72,6498.16,2,-0.2837726372,6241.49,6,3.81687706,6562.79,-1.265772636,6326.38,2.423818993
2018-11-07 00:00:00,6479.72,6562.79,6476.59,6529.68,6562.79,0,-0.5045110388,6322.6,6,3.275234872,6542.42,-0.1947291675,6326.38,3.213528116
2018-11-08 00:00:00,6530.94,6542.42,6438.27,6446.06,6562.79,1,-1.778664257,6336.96,5,1.72164571,6457.97,-0.1844232785,6315.58,2.066001856
2018-11-09 00:00:00,6446.06,6457.97,6352.45,6377.99,6562.79,2,-2.815875565,6336.96,6,0.6474713427,6435.41,-0.8922508434,5469.93,16.6009437
2018-11-10 00:00:00,6377.99,6419.92,6376.17,6396.37,6562.79,3,-2.535811751,6351.92,6,0.6997884104,6435.41,-0.606643555,5300.75,20.66915059
2018-11-11 00:00:00,6396.39,6414.18,6326.38,6408.18,6562.79,4,-2.355857798,6326.38,0,1.292998524,6435.41,-0.423127664,5300.75,20.89194925
2018-11-12 00:00:00,6408.18,6435.41,6350.87,6375.08,6562.79,5,-2.860216463,6326.38,1,0.7697925196,6389.43,-0.2245896739,5300.75,20.26750931
2018-11-13 00:00:00,6375.08,6389.43,6315.58,6339.17,6562.79,6,-3.407392283,6315.58,0,0.3735207218,6375.7,-0.572956695,5300.75,19.59005801
